#file	sampid	group
/Users/hoto7260/projects/Resp_Env/WSP_B2B/data/dREG/dreg/SRR13772351.sorted.dREG.full.covfiltered.bed	SRR13772351	WSP
/Users/hoto7260/projects/Resp_Env/WSP_B2B/data/dREG/dreg/SRR13772350.sorted.dREG.full.covfiltered.bed	SRR13772350	WSP
/Users/hoto7260/projects/Resp_Env/WSP_B2B/data/dREG/dreg/SRR13772349.sorted.dREG.full.covfiltered.bed	SRR13772349	VEH
/Users/hoto7260/projects/Resp_Env/WSP_B2B/data/dREG/dreg/SRR13772348.sorted.dREG.full.covfiltered.bed	SRR13772348	VEH
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429046.sorted.dREG.full.covfiltered.bed	SRR8429046	ETH10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429047.sorted.dREG.full.covfiltered.bed	SRR8429047	ETH10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429048.sorted.dREG.full.covfiltered.bed	SRR8429048	TNF10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429049.sorted.dREG.full.covfiltered.bed	SRR8429049	TNF10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429050.sorted.dREG.full.covfiltered.bed	SRR8429050	DEX10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429051.sorted.dREG.full.covfiltered.bed	SRR8429051	DEX10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429052.sorted.dREG.full.covfiltered.bed	SRR8429052	TD10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429053.sorted.dREG.full.covfiltered.bed	SRR8429053	TD10
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429054.sorted.dREG.full.covfiltered.bed	SRR8429054	ETH30
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429055.sorted.dREG.full.covfiltered.bed	SRR8429055	ETH30
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429056.sorted.dREG.full.covfiltered.bed	SRR8429056	TNF30
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429057.sorted.dREG.full.covfiltered.bed	SRR8429057	TNF30
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429058.sorted.dREG.full.covfiltered.bed	SRR8429058	DEX30
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429059.sorted.dREG.full.covfiltered.bed	SRR8429059	DEX30
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429060.sorted.dREG.full.covfiltered.bed	SRR8429060	TD30
/Shares/dbnascent/Sasse2019nascent/dreg/SRR8429061.sorted.dREG.full.covfiltered.bed	SRR8429061	TD30
/Shares/dbnascent/Gally2020gain/dreg/SRR12482692.sorted.dREG.full.covfiltered.bed	SRR12482692	GCont
/Shares/dbnascent/Gally2020gain/dreg/SRR12482693.sorted.dREG.full.covfiltered.bed	SRR12482693	GCont
