#file	sampid	group
/scratch/Users/hoto7260/nextflow_out/Bidir/WSP_B2B_04-30-24/tfit/SRR13772351.sorted_split_bidir_cov_filtered.bed	SRR13772351	WSP
/scratch/Users/hoto7260/nextflow_out/Bidir/WSP_B2B_04-30-24/tfit/SRR13772350.sorted_split_bidir_cov_filtered.bed	SRR13772350	WSP
/scratch/Users/hoto7260/nextflow_out/Bidir/WSP_B2B_04-30-24/tfit/SRR13772349.sorted_split_bidir_cov_filtered.bed	SRR13772349	VEH
/scratch/Users/hoto7260/nextflow_out/Bidir/WSP_B2B_04-30-24/tfit/SRR13772348.sorted_split_bidir_cov_filtered.bed	SRR13772348	VEH
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429046.sorted_split_bidir_cov_filtered.bed	SRR8429046	ETH10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429047.sorted_split_bidir_cov_filtered.bed	SRR8429047	ETH10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429048.sorted_split_bidir_cov_filtered.bed	SRR8429048	TNF10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429049.sorted_split_bidir_cov_filtered.bed	SRR8429049	TNF10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429050.sorted_split_bidir_cov_filtered.bed	SRR8429050	DEX10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429051.sorted_split_bidir_cov_filtered.bed	SRR8429051	DEX10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429052.sorted_split_bidir_cov_filtered.bed	SRR8429052	TD10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429053.sorted_split_bidir_cov_filtered.bed	SRR8429053	TD10
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429054.sorted_split_bidir_cov_filtered.bed	SRR8429054	ETH30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429055.sorted_split_bidir_cov_filtered.bed	SRR8429055	ETH30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429056.sorted_split_bidir_cov_filtered.bed	SRR8429056	TNF30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429057.sorted_split_bidir_cov_filtered.bed	SRR8429057	TNF30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429058.sorted_split_bidir_cov_filtered.bed	SRR8429058	DEX30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429059.sorted_split_bidir_cov_filtered.bed	SRR8429059	DEX30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429060.sorted_split_bidir_cov_filtered.bed	SRR8429060	TD30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR8429061.sorted_split_bidir_cov_filtered.bed	SRR8429061	TD30
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR12482692.sorted_split_bidir_cov_filtered.bed	SRR12482692	GCont
/scratch/Users/hoto7260/nextflow_out/Bidir/All_B2B/tfit/SRR12482693.sorted_split_bidir_cov_filtered.bed	SRR12482693	GCont
